sie	ɕ ɛ
eldo	ɛ l d ɔ
eliminacyjne	ɛ l i m i n a t͡s ɘ j n ɛ
elsie	ɛ l ɕ ɛ
emocjonujących	ɛ m ɔ t͡s j ɔ n u j ɔ n t͡s ɘ x
erikiem	ɛ r i k j ɛ m
espinosa	ɛ s p i n ɔ s a
europejczykami	ɛ w r ɔ p ɛ j t͡ʂ ɘ k a m i
ewangeliach	ɛ v a ŋ ɡ ɛ l j a x
ezria	ɛ z r j a
fakultatywnych	f a k u l t a t ɘ v n ɘ x
fantastyczni	f a n t a s t ɘ t͡ʂ ɲ i
faszyzmowi	f a ʂ ɘ z m ɔ v i
fdp	ɛ f d ɛ p ɛ
feliciano	f ɛ l i t͡ɕ a n ɔ
fender	f ɛ n d ɛ r
fie	f j ɛ
fiji	f i j i
filaru	f i l a r u
filią	f i l j ɔ w̃
finansista	f i n a n ɕ i s t a
fioła	f j ɔ w a
fishing	f i ʂ i ŋ k
flamingo	f l a m i ŋ ɡ ɔ
floyda	f l ɔ j d a
fonty	f ɔ n t ɘ
forms	f ɔ r m s
formują	f ɔ r m u j ɔ w̃
fotogaleria	f ɔ t ɔ ɡ a l ɛ r j a
freitas	f r ɛ i t a s
fremont	f r ɛ m ɔ n t
frey	f r ɛ j
frustracją	f r u s t r a t͡s j ɔ w̃
gabor	ɡ a b ɔ r
gave	ɡ a v ɛ
gemmy	ɡ ɛ m m ɘ
gildie	ɡ i l d j ɛ
gimnastyce	ɡ i m n a s t ɘ t͡s ɛ
ginekologicznej	ɡ i n ɛ k ɔ l ɔ ɡ i t͡ʂ n ɛ j
giovanna	ɡ j ɔ v a n n a
giulia	ɡ j u l j a
golfowego	ɡ ɔ l f ɔ v ɛ ɡ ɔ
googlach	ɡ u ɡ l a x
grafa	ɡ r a f a
grim	ɡ r i m
grupek	ɡ r u p ɛ k
gwarantujący	ɡ v a r a n t u j ɔ n t͡s ɘ
gzymsy	ɡ z ɘ m s ɘ
głosiła	ɡ w ɔ ɕ i w a
głośnikami	ɡ w ɔ ɕ ɲ i k a m i
głębokościach	ɡ w ɛ m b ɔ k ɔ ɕ t͡ɕ a x
hajsem	x a j s ɛ m
hanks	x a ŋ k s
harcerskiego	x a r t͡s ɛ r s k j ɛ ɡ ɔ
hellera	x ɛ l ɛ r a
hendersona	x ɛ n d ɛ r s ɔ n a
hermiony	x ɛ r m j ɔ n ɘ
hihihi	x i x i x i
hitlerze	x i t l ɛ ʐ ɛ
hodują	x ɔ d u j ɔ w̃
homofoba	x ɔ m ɔ f ɔ b a
honorowymi	x ɔ n ɔ r ɔ v ɘ m i
hwa	x f a
hydroizolacje	x ɘ d r ɔ i z ɔ l a t͡s j ɛ
ikonowicz	i k ɔ n ɔ v i t͡ʂ
iluminaci	i l u m i n a t͡ɕ i
imprezowe	i m p r ɛ z ɔ v ɛ
inteligenta	i n t ɛ l i ɡ ɛ n t a
interesowałam	i n t ɛ r ɛ s ɔ v a w a m
interpretowania	i n t ɛ r p r ɛ t ɔ v a ɲ a
intronizacji	i n t r ɔ ɲ i z a t͡s j i
inwestował	i n v ɛ s t ɔ v a w
islandczycy	i s l a n t t͡ʂ ɘ t͡s ɘ
izerskich	i z ɛ r s k i x
jagiellonów	j a ɡ j ɛ l l ɔ n u f
jajowych	j a j ɔ v ɘ x
jastrzębska	j a s t ʂ ɛ m p s k a
jednoczęściowy	j ɛ d n ɔ t͡ʂ ɛ w̃ ɕ t͡ɕ ɔ v ɘ
jednorodzinnym	j ɛ d n ɔ r ɔ d͡ʑ i n n ɘ m
jegomościa	j ɛ ɡ ɔ m ɔ ɕ t͡ɕ a
jopek	j ɔ p ɛ k
jula	j u l a
juventud	j u v ɛ n t u t
kamieniołomach	k a m j ɛ ɲ ɔ w ɔ m a x
kapeluszach	k a p ɛ l u ʂ a x
kapitalizacji	k a p i t a l i z a t͡s j i
kapryśna	k a p r ɘ ɕ n a
karolinka	k a r ɔ l i n k a
kasowane	k a s ɔ v a n ɛ
katakumbach	k a t a k u m b a x
katalończyków	k a t a l ɔ ɲ t͡ʂ ɘ k u f
katastrofalna	k a t a s t r ɔ f a l n a
kawaii	k a v a j i
kazachów	k a z a x u f
kałuże	k a w u ʐ ɛ
kf	k a ɛ f
kierunkowe	k j ɛ r u ŋ k ɔ v ɛ
kiełków	k j ɛ w k u f
kijowska	k i j ɔ f s k a
kilometrowym	k i l ɔ m ɛ t r ɔ v ɘ m
kingu	k i ŋ ɡ u
kinowym	k i n ɔ v ɘ m
klejnotami	k l ɛ j n ɔ t a m i
kojarzenia	k ɔ j a ʐ ɛ ɲ a
komeda	k ɔ m ɛ d a
komediowe	k ɔ m ɛ d j ɔ v ɛ
kompaktowych	k ɔ m p a k t ɔ v ɘ x
kompatybilności	k ɔ m p a t ɘ b i l n ɔ ɕ t͡ɕ i
kompetencjami	k ɔ m p ɛ t ɛ n t͡s j a m i
konfiguracje	k ɔ n f i ɡ u r a t͡s j ɛ
kontrolowaną	k ɔ n t r ɔ l ɔ v a n ɔ w̃
koszyków	k ɔ ʂ ɘ k u f
kotow	k ɔ t ɔ f
krotkie	k r ɔ t k j ɛ
krościenko	k r ɔ ɕ t͡ɕ ɛ ŋ k ɔ
krwotoki	k r f ɔ t ɔ k i
kryształami	k r ɘ ʂ t a w a m i
kryzysowym	k r ɘ z ɘ s ɔ v ɘ m
kwiatowym	k f j a t ɔ v ɘ m
kłodawa	k w ɔ d a v a
kłopotliwa	k w ɔ p ɔ t l i v a
latwy	l a t f ɘ
leczono	l ɛ t͡ʂ ɔ n ɔ
leda	l ɛ d a
legnickiego	l ɛ ɡ ɲ i t͡s k j ɛ ɡ ɔ
lenistwem	l ɛ ɲ i s t f ɛ m
leniwą	l ɛ ɲ i v ɔ w̃
levante	l ɛ v a n t ɛ
lia	l j a
limfocyty	l i m f ɔ t͡s ɘ t ɘ
liryki	l i r ɘ k i
lojalne	l ɔ j a l n ɛ
lokatą	l ɔ k a t ɔ w̃
lwowskie	l v ɔ f s k j ɛ
lyndon	l ɘ n d ɔ n
marcowych	m a r t͡s ɔ v ɘ x
margaryny	m a r ɡ a r ɘ n ɘ
marzyłaś	m a ʐ ɘ w a ɕ
matryc	m a t r ɘ t͡s
maxx	m a k s
mccaina	m t͡s k a i n a
meczowej	m ɛ t͡ʂ ɔ v ɛ j
mejla	m ɛ j l a
membrany	m ɛ m b r a n ɘ
mianownikiem	m j a n ɔ v ɲ i k j ɛ m
mieszance	m j ɛ ʂ a n t͡s ɛ
mieszanin	m j ɛ ʂ a ɲ i n
mieszańców	m j ɛ ʂ a ɲ t͡s u f
mineło	m i n ɛ w ɔ
miodowej	m j ɔ d ɔ v ɛ j
mirona	m i r ɔ n a
mistrzom	m i s t ʂ ɔ m
mistycznego	m i s t ɘ t͡ʂ n ɛ ɡ ɔ
mock	m ɔ t͡s k
mocniejszą	m ɔ t͡s ɲ ɛ j ʂ ɔ w̃
modyfikacjami	m ɔ d ɘ f i k a t͡s j a m i
molekuł	m ɔ l ɛ k u w
mordowanych	m ɔ r d ɔ v a n ɘ x
motorach	m ɔ t ɔ r a x
motorowe	m ɔ t ɔ r ɔ v ɛ
motywowane	m ɔ t ɘ v ɔ v a n ɛ
mrożka	m r ɔ ʂ k a
mruczy	m r u t͡ʂ ɘ
mszyce	m ʂ ɘ t͡s ɛ
mta	m t a
muir	m u i r
multikino	m u l t i k i n ɔ
mumbai	m u m b a i
murale	m u r a l ɛ
myślącym	m ɘ ɕ l ɔ n t͡s ɘ m
męsku	m ɛ n s k u
nachalnie	n a x a l ɲ ɛ
nadgarstków	n a d ɡ a r s t k u f
nadrobimy	n a d r ɔ b i m ɘ
nagla	n a ɡ l a
najbezpieczniejszych	n a j b ɛ s p j ɛ t͡ʂ ɲ ɛ j ʂ ɘ x
najliczniejsza	n a j l i t͡ʂ ɲ ɛ j ʂ a
najmilsza	n a j m i l ʂ a
najnowocześniejsze	n a j n ɔ v ɔ t͡ʂ ɛ ɕ ɲ ɛ j ʂ ɛ
najtańszą	n a j t a ɲ ʂ ɔ w̃
największemu	n a j v j ɛ ŋ k ʂ ɛ m u
najśmielsze	n a j ɕ m j ɛ l ʂ ɛ
nakazujący	n a k a z u j ɔ n t͡s ɘ
nakręcona	n a k r ɛ n t͡s ɔ n a
napiję	n a p i j ɛ
napisalam	n a p i s a l a m
napiwku	n a p i f k u
narażamy	n a r a ʐ a m ɘ
narażasz	n a r a ʐ a ʂ
narodzi	n a r ɔ d͡ʑ i
narożniki	n a r ɔ ʐ ɲ i k i
narożników	n a r ɔ ʐ ɲ i k u f
narysowane	n a r ɘ s ɔ v a n ɛ
nasileniu	n a ɕ i l ɛ ɲ u
natręctw	n a t r ɛ n t͡s t f
nawiedziły	n a v j ɛ d͡ʑ i w ɘ
netia	n ɛ t j a
neu	n ɛ w
niecałego	ɲ ɛ t͡s a w ɛ ɡ ɔ
niecodzienna	ɲ ɛ t͡s ɔ d͡ʑ ɛ n n a
niedoceniane	ɲ ɛ d ɔ t͡s ɛ ɲ a n ɛ
niekomercyjnych	ɲ ɛ k ɔ m ɛ r t͡s ɘ j n ɘ x
niektorym	ɲ ɛ k t ɔ r ɘ m
nieodpowiedzialna	ɲ ɛ ɔ t p ɔ v j ɛ d͡ʑ a l n a
niepotrzebnej	ɲ ɛ p ɔ t ʂ ɛ b n ɛ j
nieuczciwym	ɲ ɛ u t͡ʂ t͡ɕ i v ɘ m
nieumyślnego	ɲ ɛ u m ɘ ɕ l n ɛ ɡ ɔ
niewdzięczne	ɲ ɛ v d͡ʑ ɛ n t͡ʂ n ɛ
niezawisłe	ɲ ɛ z a v i s w ɛ
nisku	ɲ i s k u
nomadów	n ɔ m a d u f
nominalna	n ɔ m i n a l n a
obchodziliśmy	ɔ p x ɔ d͡ʑ i l i ɕ m ɘ
obdarza	ɔ b d a ʐ a
oblewa	ɔ b l ɛ v a
obranej	ɔ b r a n ɛ j
obstawiamy	ɔ p s t a v j a m ɘ
obsługująca	ɔ p s w u ɡ u j ɔ n t͡s a
obłudę	ɔ b w u d ɛ
oceanic	ɔ t͡s ɛ a ɲ i t͡s
ochłapy	ɔ x w a p ɘ
ociepla	ɔ t͡ɕ ɛ p l a
odbieraniu	ɔ d b j ɛ r a ɲ u
odbiją	ɔ d b i j ɔ w̃
odbudowano	ɔ d b u d ɔ v a n ɔ
oddechowa	ɔ d d ɛ x ɔ v a
odechce	ɔ d ɛ x t͡s ɛ
odejmij	ɔ d ɛ j m i j
odnosiło	ɔ d n ɔ ɕ i w ɔ
odpisu	ɔ t p i s u
odpisujesz	ɔ t p i s u j ɛ ʂ
odstają	ɔ t s t a j ɔ w̃
odsunie	ɔ t s u ɲ ɛ
odsunęli	ɔ t s u n ɛ l i
odziany	ɔ d͡ʑ a n ɘ
odzyskasz	ɔ d͡z ɘ s k a ʂ
odświeżacz	ɔ t ɕ f j ɛ ʐ a t͡ʂ
oficerom	ɔ f i t͡s ɛ r ɔ m
ogarniał	ɔ ɡ a r ɲ a w
ogniskiem	ɔ ɡ ɲ i s k j ɛ m
ogrodniczej	ɔ ɡ r ɔ d ɲ i t͡ʂ ɛ j
ogólno	ɔ ɡ u l n ɔ
okrzykami	ɔ k ʂ ɘ k a m i
okucia	ɔ k u t͡ɕ a
okłamują	ɔ k w a m u j ɔ w̃
olecku	ɔ l ɛ t͡s k u
olivii	ɔ l i v j i
opanowuje	ɔ p a n ɔ v u j ɛ
opanują	ɔ p a n u j ɔ w̃
opportunity	ɔ p p ɔ r t u ɲ i t ɘ
oprawione	ɔ p r a v j ɔ n ɛ
orgie	ɔ r ɡ j ɛ
oryginałów	ɔ r ɘ ɡ i n a w u f
orzekającego	ɔ ʐ ɛ k a j ɔ n t͡s ɛ ɡ ɔ
owskiego	ɔ f s k j ɛ ɡ ɔ
oznaczane	ɔ z n a t͡ʂ a n ɛ
oświatową	ɔ ɕ f j a t ɔ v ɔ w̃
ożywił	ɔ ʐ ɘ v i w
palarni	p a l a r ɲ i
pamiętne	p a m j ɛ n t n ɛ
panienek	p a ɲ ɛ n ɛ k
parowozów	p a r ɔ v ɔ z u f
patrykiem	p a t r ɘ k j ɛ m
patrzących	p a t ʂ ɔ n t͡s ɘ x
pennsylvania	p ɛ n n s ɘ l v a ɲ a
perkusyjnych	p ɛ r k u s ɘ j n ɘ x
peugeota	p ɛ w ɡ ɛ ɔ t a
piratem	p i r a t ɛ m
pistol	p i s t ɔ l
planktonu	p l a ŋ k t ɔ n u
plemiennej	p l ɛ m j ɛ n n ɛ j
pne	p n ɛ
pnącza	p n ɔ n t͡ʂ a
pobudzony	p ɔ b u d͡z ɔ n ɘ
pochmurne	p ɔ x m u r n ɛ
pociągające	p ɔ t͡ɕ ɔ ŋ ɡ a j ɔ n t͡s ɛ
poczyniła	p ɔ t͡ʂ ɘ ɲ i w a
poczytałam	p ɔ t͡ʂ ɘ t a w a m
podarowali	p ɔ d a r ɔ v a l i
podatkowymi	p ɔ d a t k ɔ v ɘ m i
podmiejskiej	p ɔ d m j ɛ j s k j ɛ j
podniecona	p ɔ d ɲ ɛ t͡s ɔ n a
podoficerów	p ɔ d ɔ f i t͡s ɛ r u f
podopiecznego	p ɔ d ɔ p j ɛ t͡ʂ n ɛ ɡ ɔ
podstawienie	p ɔ t s t a v j ɛ ɲ ɛ
podsumujmy	p ɔ t s u m u j m ɘ
podsystem	p ɔ t s ɘ s t ɛ m
podtrzymywane	p ɔ t t ʂ ɘ m ɘ v a n ɛ
podzielonej	p ɔ d͡ʑ ɛ l ɔ n ɛ j
podążyła	p ɔ d ɔ n ʐ ɘ w a
pogadankę	p ɔ ɡ a d a ŋ k ɛ
pogańskiego	p ɔ ɡ a ɲ s k j ɛ ɡ ɔ
pogodzę	p ɔ ɡ ɔ d͡z ɛ
pogrzebową	p ɔ ɡ ʐ ɛ b ɔ v ɔ w̃
pojętego	p ɔ j ɛ n t ɛ ɡ ɔ
pokarmową	p ɔ k a r m ɔ v ɔ w̃
pokonujemy	p ɔ k ɔ n u j ɛ m ɘ
pokrzywdzeni	p ɔ k ʂ ɘ v d͡z ɛ ɲ i
polonizacji	p ɔ l ɔ ɲ i z a t͡s j i
pomogla	p ɔ m ɔ ɡ l a
pomoz	p ɔ m ɔ s
pompejusz	p ɔ m p ɛ j u ʂ
pomyślało	p ɔ m ɘ ɕ l a w ɔ
ponosisz	p ɔ n ɔ ɕ i ʂ
porozmawiania	p ɔ r ɔ z m a v j a ɲ a
portable	p ɔ r t a b l ɛ
poruszającego	p ɔ r u ʂ a j ɔ n t͡s ɛ ɡ ɔ
porównajcie	p ɔ r u v n a j t͡ɕ ɛ
porównajmy	p ɔ r u v n a j m ɘ
poselska	p ɔ s ɛ l s k a
poskarżyć	p ɔ s k a r ʐ ɘ t͡ɕ
pospieszył	p ɔ s p j ɛ ʂ ɘ w
postanowieniach	p ɔ s t a n ɔ v j ɛ ɲ a x
postawionej	p ɔ s t a v j ɔ n ɛ j
postawmy	p ɔ s t a v m ɘ
potwierdzał	p ɔ t f j ɛ r d͡z a w
powiedźcie	p ɔ v j ɛ t͡ɕ t͡ɕ ɛ
powrotnego	p ɔ v r ɔ t n ɛ ɡ ɔ
powłoce	p ɔ v w ɔ t͡s ɛ
pozaziemskie	p ɔ z a ʑ ɛ m s k j ɛ
pozbierał	p ɔ z b j ɛ r a w
poznanej	p ɔ z n a n ɛ j
pozostawieniem	p ɔ z ɔ s t a v j ɛ ɲ ɛ m
poświadczone	p ɔ ɕ f j a t t͡ʂ ɔ n ɛ
poświęcamy	p ɔ ɕ f j ɛ n t͡s a m ɘ
pracowici	p r a t͡s ɔ v i t͡ɕ i
prezenterów	p r ɛ z ɛ n t ɛ r u f
priorytetami	p r j ɔ r ɘ t ɛ t a m i
prorosyjscy	p r ɔ r ɔ s ɘ j s t͡s ɘ
prostownicy	p r ɔ s t ɔ v ɲ i t͡s ɘ
przechodząca	p ʂ ɛ x ɔ d͡z ɔ n t͡s a
przeciągania	p ʂ ɛ t͡ɕ ɔ ŋ ɡ a ɲ a
przecięciu	p ʂ ɛ t͡ɕ ɛ ɲ t͡ɕ u
przeciętnemu	p ʂ ɛ t͡ɕ ɛ n t n ɛ m u
przedarł	p ʂ ɛ d a r w
przegapili	p ʂ ɛ ɡ a p i l i
przegłosować	p ʂ ɛ ɡ w ɔ s ɔ v a t͡ɕ
przejmowaniu	p ʂ ɛ j m ɔ v a ɲ u
przeklętego	p ʂ ɛ k l ɛ n t ɛ ɡ ɔ
przekupstwa	p ʂ ɛ k u p s t f a
przeprowadzaniu	p ʂ ɛ p r ɔ v a d͡z a ɲ u
przeskoczenia	p ʂ ɛ s k ɔ t͡ʂ ɛ ɲ a
przesunięto	p ʂ ɛ s u ɲ ɛ n t ɔ
przesyłanych	p ʂ ɛ s ɘ w a n ɘ x
przeszkodziła	p ʂ ɛ ʂ k ɔ d͡ʑ i w a
przetłumaczę	p ʂ ɛ t w u m a t͡ʂ ɛ
przewodniczącemu	p ʂ ɛ v ɔ d ɲ i t͡ʂ ɔ n t͡s ɛ m u
przełamie	p ʂ ɛ w a m j ɛ
przełknięcia	p ʂ ɛ w k ɲ ɛ ɲ t͡ɕ a
prześladowana	p ʂ ɛ ɕ l a d ɔ v a n a
przybliżenia	p ʂ ɘ b l i ʐ ɛ ɲ a
przybyszem	p ʂ ɘ b ɘ ʂ ɛ m
przygotowywałem	p ʂ ɘ ɡ ɔ t ɔ v ɘ v a w ɛ m
przyjacielsku	p ʂ ɘ j a t͡ɕ ɛ l s k u
przyjaźnię	p ʂ ɘ j a ʑ ɲ ɛ
przyjmowanych	p ʂ ɘ j m ɔ v a n ɘ x
przyprowadza	p ʂ ɘ p r ɔ v a d͡z a
przyprowadziła	p ʂ ɘ p r ɔ v a d͡ʑ i w a
przypływu	p ʂ ɘ p w ɘ v u
przytrafiają	p ʂ ɘ t r a f j a j ɔ w̃
próchnicę	p r u x ɲ i t͡s ɛ
published	p u b l i ʂ ɛ t
pubmed	p u b m ɛ t
puff	p u f
pukania	p u k a ɲ a
pątnów	p ɔ n t n u f
płaczącego	p w a t͡ʂ ɔ n t͡s ɛ ɡ ɔ
pływackiej	p w ɘ v a t͡s k j ɛ j
ramosa	r a m ɔ s a
raptors	r a p t ɔ r s
realizmem	r ɛ a l i z m ɛ m
realności	r ɛ a l n ɔ ɕ t͡ɕ i
reguly	r ɛ ɡ u l ɘ
reinkarnację	r ɛ i ŋ k a r n a t͡s j ɛ
rekomendacją	r ɛ k ɔ m ɛ n d a t͡s j ɔ w̃
rekrutacje	r ɛ k r u t a t͡s j ɛ
religijno	r ɛ l i ɡ i j n ɔ
remontuje	r ɛ m ɔ n t u j ɛ
retoryce	r ɛ t ɔ r ɘ t͡s ɛ
rezolucją	r ɛ z ɔ l u t͡s j ɔ w̃
reżimowych	r ɛ ʐ i m ɔ v ɘ x
riccardo	r i t͡s k a r d ɔ
rika	r i k a
rodowitym	r ɔ d ɔ v i t ɘ m
rond	r ɔ n t
rotacyjne	r ɔ t a t͡s ɘ j n ɛ
rozdawaniu	r ɔ z d a v a ɲ u
rozejrzałem	r ɔ z ɛ j ʐ a w ɛ m
rozpalił	r ɔ s p a l i w
rozproszył	r ɔ s p r ɔ ʂ ɘ w
rozważę	r ɔ z v a ʐ ɛ
rubieży	r u b j ɛ ʐ ɘ
rubiny	r u b i n ɘ
ruchomymi	r u x ɔ m ɘ m i
rutynowych	r u t ɘ n ɔ v ɘ x
rycerskiej	r ɘ t͡s ɛ r s k j ɛ j
rycerzami	r ɘ t͡s ɛ ʐ a m i
rzepki	ʐ ɛ p k i
samotnikiem	s a m ɔ t ɲ i k j ɛ m
sanu	s a n u
saxon	s a k s ɔ n
scared	s t͡s a r ɛ t
schlierenzauer	s x l j ɛ r ɛ n z a w ɛ r
schodzenia	s x ɔ d͡z ɛ ɲ a
schowku	s x ɔ f k u
schroniskiem	s x r ɔ ɲ i s k j ɛ m
schubert	s x u b ɛ r t
serwetkę	s ɛ r v ɛ t k ɛ
sfałszowanie	s f a w ʂ ɔ v a ɲ ɛ
sich	ɕ i x
sif	ɕ i f
sii	ɕ i
silvera	ɕ i l v ɛ r a
skaczcie	s k a t͡ʂ t͡ɕ ɛ
skakała	s k a k a w a
skanerów	s k a n ɛ r u f
skoczyli	s k ɔ t͡ʂ ɘ l i
skrywają	s k r ɘ v a j ɔ w̃
skrępowana	s k r ɛ m p ɔ v a n a
skupic	s k u p i t͡s
skusił	s k u ɕ i w
slyszy	s l ɘ ʂ ɘ
sochaczewa	s ɔ x a t͡ʂ ɛ v a
sodę	s ɔ d ɛ
solskiego	s ɔ l s k j ɛ ɡ ɔ
specjalnościach	s p ɛ t͡s j a l n ɔ ɕ t͡ɕ a x
spielberg	s p j ɛ l b ɛ r k
spiskiem	s p i s k j ɛ m
spotykaną	s p ɔ t ɘ k a n ɔ w̃
spragnionych	s p r a ɡ ɲ ɔ n ɘ x
sprowadzane	s p r ɔ v a d͡z a n ɛ
spytajcie	s p ɘ t a j t͡ɕ ɛ
spędziły	s p ɛ ɲ d͡ʑ i w ɘ
stalinowi	s t a l i n ɔ v i
stażysty	s t a ʐ ɘ s t ɘ
stojaka	s t ɔ j a k a
stosowna	s t ɔ s ɔ v n a
strukturalna	s t r u k t u r a l n a
stymulują	s t ɘ m u l u j ɔ w̃
suby	s u b ɘ
sumując	s u m u j ɔ n t͡s
swietle	s f j ɛ t l ɛ
sybil	s ɘ b i l
szacują	ʂ a t͡s u j ɔ w̃
szambem	ʂ a m b ɛ m
szanowanego	ʂ a n ɔ v a n ɛ ɡ ɔ
szczególnymi	ʂ t͡ʂ ɛ ɡ u l n ɘ m i
szczelinie	ʂ t͡ʂ ɛ l i ɲ ɛ
szczątkach	ʂ t͡ʂ ɔ n t k a x
szejków	ʂ ɛ j k u f
szermierce	ʂ ɛ r m j ɛ r t͡s ɛ
szos	ʂ ɔ s
szparę	ʂ p a r ɛ
szubienice	ʂ u b j ɛ ɲ i t͡s ɛ
słynący	s w ɘ n ɔ n t͡s ɘ
tabloidu	t a b l ɔ i d u
taft	t a f t
tancerzami	t a n t͡s ɛ ʐ a m i
telford	t ɛ l f ɔ r t
tematyczna	t ɛ m a t ɘ t͡ʂ n a
tempe	t ɛ m p ɛ
temperamentu	t ɛ m p ɛ r a m ɛ n t u
tobym	t ɔ b ɘ m
trafil	t r a f i l
travisa	t r a v i s a
trenowanie	t r ɛ n ɔ v a ɲ ɛ
tresury	t r ɛ s u r ɘ
truly	t r u l ɘ
tune	t u n ɛ
tunelami	t u n ɛ l a m i
turing	t u r i ŋ k
turismo	t u r i s m ɔ
turowa	t u r ɔ v a
twierdzono	t f j ɛ r d͡z ɔ n ɔ
tygodniówki	t ɘ ɡ ɔ d ɲ u f k i
ucieszyli	u t͡ɕ ɛ ʂ ɘ l i
uciska	u t͡ɕ i s k a
ucza	u t͡ʂ a
udostępnionym	u d ɔ s t ɛ m p ɲ ɔ n ɘ m
ufac	u f a t͡s
ukraińsko	u k r a i ɲ s k ɔ
ukrytymi	u k r ɘ t ɘ m i
ulewne	u l ɛ v n ɛ
ultradźwięki	u l t r a d͡ʑ v j ɛ ŋ k i
umacnianiu	u m a t͡s ɲ a ɲ u
umieszczany	u m j ɛ ʂ t͡ʂ a n ɘ
umorzeniu	u m ɔ ʐ ɛ ɲ u
umówioną	u m u v j ɔ n ɔ w̃
untold	u n t ɔ l t
upadłem	u p a d w ɛ m
upamiętniającej	u p a m j ɛ n t ɲ a j ɔ n t͡s ɛ j
upragnioną	u p r a ɡ ɲ ɔ n ɔ w̃
uproszczoną	u p r ɔ ʂ t͡ʂ ɔ n ɔ w̃
uprowadzono	u p r ɔ v a d͡z ɔ n ɔ
urzekł	u ʐ ɛ k w
urządzając	u ʐ ɔ n d͡z a j ɔ n t͡s
usiłowania	u ɕ i w ɔ v a ɲ a
usunąłeś	u s u n ɔ w ɛ ɕ
uzupełniono	u z u p ɛ w ɲ ɔ n ɔ
uzyskaliśmy	u z ɘ s k a l i ɕ m ɘ
uzyskanym	u z ɘ s k a n ɘ m
uzywania	u z ɘ v a ɲ a
wasilewska	v a ɕ i l ɛ f s k a
wciąganie	f t͡ɕ ɔ ŋ ɡ a ɲ ɛ
wdawał	v d a v a w
wersu	v ɛ r s u
weryfikują	v ɛ r ɘ f i k u j ɔ w̃
wgłębienia	v ɡ w ɛ m b j ɛ ɲ a
wicedyrektora	v i t͡s ɛ d ɘ r ɛ k t ɔ r a
wiceszefa	v i t͡s ɛ ʂ ɛ f a
widzewem	v i d͡z ɛ v ɛ m
widzialne	v i d͡ʑ a l n ɛ
wieczysta	v j ɛ t͡ʂ ɘ s t a
wiedeńską	v j ɛ d ɛ ɲ s k ɔ w̃
wiedziala	v j ɛ d͡ʑ a l a
wiedźmę	v j ɛ d͡ʑ m ɛ
wietrzna	v j ɛ t ʂ n a
wieńcowych	v j ɛ ɲ t͡s ɔ v ɘ x
winiarni	v i ɲ a r ɲ i
witkiewicza	v i t k j ɛ v i t͡ʂ a
wiązana	v j ɔ n z a n a
wjazdowej	v j a z d ɔ v ɛ j
wlaczyc	v l a t͡ʂ ɘ t͡s
wniosło	v ɲ ɔ s w ɔ
wpierdalam	f p j ɛ r d a l a m
wrazeniem	v r a z ɛ ɲ ɛ m
wren	v r ɛ n
wspinaczkowa	f s p i n a t͡ʂ k ɔ v a
współtworzy	f s p u w t f ɔ ʐ ɘ
wstawał	f s t a v a w
wtajemniczenia	f t a j ɛ m ɲ i t͡ʂ ɛ ɲ a
wybieraniu	v ɘ b j ɛ r a ɲ u
wybrukowane	v ɘ b r u k ɔ v a n ɛ
wychowankami	v ɘ x ɔ v a ŋ k a m i
wyciskania	v ɘ t͡ɕ i s k a ɲ a
wydzielony	v ɘ d͡ʑ ɛ l ɔ n ɘ
wydzielonym	v ɘ d͡ʑ ɛ l ɔ n ɘ m
wyeliminowała	v ɘ ɛ l i m i n ɔ v a w a
wygasło	v ɘ ɡ a s w ɔ
wyjechałeś	v ɘ j ɛ x a w ɛ ɕ
wykonań	v ɘ k ɔ n a ɲ
wykresach	v ɘ k r ɛ s a x
wykrywalności	v ɘ k r ɘ v a l n ɔ ɕ t͡ɕ i
wykrywaniu	v ɘ k r ɘ v a ɲ u
wykładami	v ɘ k w a d a m i
wylania	v ɘ l a ɲ a
wymieniana	v ɘ m j ɛ ɲ a n a
wymieniliśmy	v ɘ m j ɛ ɲ i l i ɕ m ɘ
wynikającego	v ɘ ɲ i k a j ɔ n t͡s ɛ ɡ ɔ
wynikającymi	v ɘ ɲ i k a j ɔ n t͡s ɘ m i
wynn	v ɘ n
wyodrębnione	v ɘ ɔ d r ɛ m b ɲ ɔ n ɛ
wypina	v ɘ p i n a
wyrażonej	v ɘ r a ʐ ɔ n ɛ j
wystawiali	v ɘ s t a v j a l i
wystawionej	v ɘ s t a v j ɔ n ɛ j
wystrzeli	v ɘ s t ʂ ɛ l i
wyszeptał	v ɘ ʂ ɛ p t a w
wywalają	v ɘ v a l a j ɔ w̃
wywozi	v ɘ v ɔ ʑ i
wywróciła	v ɘ v r u t͡ɕ i w a
wyzwalania	v ɘ z v a l a ɲ a
wyzwolony	v ɘ z v ɔ l ɔ n ɘ
wyłonionych	v ɘ w ɔ ɲ ɔ n ɘ x
wyłożenie	v ɘ w ɔ ʐ ɛ ɲ ɛ
wyśmiewany	v ɘ ɕ m j ɛ v a n ɘ
wziasc	v ʑ a s t͡s
wzrokowej	v z r ɔ k ɔ v ɛ j
wędrujących	v ɛ n d r u j ɔ n t͡s ɘ x
włączonej	v w ɔ n t͡ʂ ɔ n ɛ j
zaakceptowały	z a a k t͡s ɛ p t ɔ v a w ɘ
zachowal	z a x ɔ v a l
zaciętym	z a t͡ɕ ɛ n t ɘ m
